Depth,deltaTS,Ageaicc
3026,-3.13,313762
3027,-2.97,314017
3028,-3.17,314273
3029,-2.92,314529
3030,-3.32,314785
3031,-2.52,315040
3032,-2.76,315294
3033,-3.64,315555
3034,-3.19,315817
3035,-2.28,316069
3036,-2.04,316321
3037,-1.74,316557
3038,-2.34,316793
3039,-2.88,317044
3040,-3.03,317296
3041,-3.46,317562
3042,-3.88,317827
3043,-4.13,318111
3044,-4.32,318395
3045,-4.82,318694
3046,-5.14,318992
3047,-5.42,319310
3048,-5.54,319628
3049,-5.14,319949
3050,-5.09,320269
3051,-4.72,320579
3052,-4.58,320890
3053,-4.69,321195
3054,-4.41,321501
3055,-4.09,321800
3056,-3.95,322098
3057,-3.86,322390
3058,-3.83,322682
3059,-3.69,322973
3060,-3.39,323263
3061,-3.32,323545
3062,-3.06,323827
3063,-2.78,324101
3064,-2.54,324375
3065,-2.39,324640
3066,-2.33,324905
3067,-2.22,325167
3068,-2.45,325429
3069,-2.35,325694
3070,-2.29,325960
3071,-1.92,326219
3072,-1.79,326479
3073,-1.61,326730
3074,-1.34,326982
3075,-1.38,327227
3076,-1.36,327472
3077,-1.32,327717
3078,-1.1,327963
3079,-0.99,328202
3080,-0.97,328441
3081,-0.64,328676
3082,-0.48,328910
3083,-0.46,329139
3084,-0.51,329367
3085,-0.18,329593
3086,-0.18,329818
3087,-0.33,330043
3088,-0.2,330267
3089,-0.39,330493
3090,-0.42,330719
3091,-0.14,330946
3092,-0.03,331173
3093,0.02,331397
3094,0.2,331620
3095,0.01,331843
3096,0.02,332066
3097,0.16,332290
3098,0.24,332514
3099,0.15,332737
3100,-0.12,332959
3101,-0.18,333188
3102,-0.09,333418
3103,0.38,333643
3104,1.14,333869
3105,1.26,334080
3106,1.66,334290
3107,2.18,334493
3108,2.65,334697
3109,2.85,334890
3110,2.82,335084
3111,3.19,335276
3112,3.18,335468
3113,3.08,335659
3114,3.08,335850
3115,3.14,336040
3116,2.99,336230
3117,2.84,336422
3118,2.86,336614
3119,2.65,336807
3120,2.34,336999
3121,2,337197
3122,1.74,337395
3123,1.59,337596
3124,0.68,337798
3125,0.05,338016
3126,-0.25,338234
3127,-0.96,338463
3128,-1.73,338693
3129,-2.39,338947
3130,-2.41,339200
3131,-2.55,339461
3132,-2.64,339722
3133,-3.03,339988
3134,-3.41,340254
3135,-3.68,340535
3136,-4.21,340816
3137,-4.56,341117
3138,-4.9,341417
3139,-5.11,341734
3140,-5.67,342050
3141,-5.76,342386
3142,-6.06,342722
3143,-6.63,343075
3144,-7.3,343428
3145,-7.86,343819
3146,-8.04,344210
3147,-7.94,344613
3148,-7.93,345016
3149,-7.87,345416
3150,-7.58,345817
3151,-7.28,346205
3152,-7.43,346593
3153,-7.3,346982
3154,-7.42,347372
3155,-7.16,347761
3156,-7.3,348151
3157,-7.4,348546
3158,-6.98,348941
3159,-7.13,349329
3160,-7.44,349717
3161,-6.88,350112
3162,-6.31,350507
3163,-6.26,350879
3164,-6.32,351252
3165,-6.59,351637
3166,-6.64,352022
3167,-6.76,352422
3168,-6.84,352822
3169,-6.43,353228
3170,-6.58,353634
3171,-6.65,354049
3172,-6.76,354463
3173,-6.84,354893
3174,-6.83,355323
3175,-6.92,355765
3176,-7.05,356207
3177,-7.02,356664
3178,-7.32,357122
3179,-7.61,357608
3180,-7.64,358095
3181,-7.64,358602
3182,-7.57,359109
3183,-7.64,359631
3184,-7.77,360154
3185,-7.71,360703
3186,-7.71,361253
3187,-7.46,361815
3188,-7.41,362376
3189,-7.13,362939
3190,-6.94,363501
3191,-7.24,364069
3192,-7.01,364636
3193,-6.58,365202
3194,-6.39,365768
3195,-6.64,366330
3196,-6.41,366891
3197,-5.8,367444
3198,-5.89,367996
3199,-6.05,368553
3200,-6.24,369111
3201,-5.79,369682
3202,-5.9,370253
3203,-6.2,370841
3204,-5.72,371429
3205,-5.84,372019
3206,-6.21,372609
3207,-5.88,373225
3208,-5.4,373841
3209,-5.13,374428
3210,-4.84,375014
3211,-4.86,375589
3212,-4.97,376164
3213,-4.46,376741
3214,-4.03,377318
3215,-4.54,377884
3216,-5.23,378449
3217,-5.42,379075
3218,-5.74,379700
3219,-6.67,380383
3220,-6.58,381066
3221,-6.15,381767
3222,-5.9,382468
3223,-5.66,383132
3224,-5.33,383795
3225,-5.26,384429
3226,-5.08,385062
3227,-4.55,385665
3228,-4.07,386268
3229,-3.27,386809
3230,-2.99,387349
3231,-3.72,387870
3232,-4.29,388390
3233,-4.63,388953
3234,-4.88,389516
3235,-4.68,390083
3236,-4.32,390649
3237,-4.05,391174
3238,-3.72,391698
3239,-2.92,392171
3240,-2.72,392645
3241,-2.5,393078
3242,-3.24,393511
3243,-4.1,393972
3244,-4.54,394433
3245,-5.36,394936
3246,-5.65,395440
3247,-5.46,395964
3248,-5.4,396489
3249,-5.02,396996
3250,-5.07,397503
3251,-5.44,398012
3252,-5.34,398521
3253,-5.36,399033
3254,-5.6,399545
3255,-5.17,400056
3256,-5.31,400567
3257,-5.4,401076
3258,-5.02,401585
3259,-4.23,402063
3260,-3.43,402541
3261,-2.8,402962
3262,-2.54,403383
3263,-2.2,403780
