ztop,Temperature,AgeAICC
138.05,1.26,3772.97
138.6,-1.57,3790.94
139.15,1.07,3810.03
139.7,0.08,3829.11
140.25,0.26,3848.2
140.8,-0.7,3867.58
141.35,-0.92,3886.96
141.9,0.72,3906.34
142.45,-0.12,3925.69
143,-0.52,3945.05
143.55,-0.19,3964.41
144.1,-0.41,3983.96
144.65,0.4,4003.51
145.2,-0.56,4023.05
145.75,-0.59,4041.94
146.3,0.78,4060.83
146.85,0.81,4079.72
147.4,-1.16,4098.75
147.95,0.89,4117.78
148.5,0.82,4136.81
149.05,-0.59,4156.11
149.6,-0.42,4175.4
150.15,0.06,4194.7
150.7,0.5,4213.88
151.25,-1.57,4233.06
151.8,0.67,4252.23
152.35,1.31,4270.93
152.9,-0.2,4289.63
153.45,1.36,4308.32
154,-0.48,4327.69
154.55,-1.03,4347.06
155.1,0,4366.42
155.65,0.29,4386
156.2,0.04,4405.57
156.75,-0.32,4425.14
157.3,-0.9,4444.62
157.85,0.35,4464.09
158.4,1.33,4483.57
158.95,-0.39,4502.2
159.5,0.78,4520.82
160.05,-0.7,4539.45
160.6,-0.4,4559.53
161.15,-0.8,4579.62
161.7,0.01,4599.7
162.25,0.16,4619.33
162.8,0.27,4638.97
163.35,-0.56,4658.6
163.9,-0.01,4678.18
164.45,-0.16,4697.76
165,-0.38,4717.34
165.55,0.94,4737.08
166.1,-0.76,4756.82
166.65,-1.21,4776.56
167.2,-0.28,4796.94
167.75,-0.37,4817.31
168.3,-1.16,4837.69
168.85,-0.32,4857.88
169.4,0.67,4878.08
169.95,0.25,4898.27
170.5,-0.16,4917.31
171.05,-0.03,4936.36
171.6,0.37,4955.4
172.15,0.98,4974.9
172.7,-0.5,4994.4
173.25,-0.66,5013.89
173.8,-0.32,5033.82
174.35,-0.29,5053.75
174.9,0.36,5073.67
175.45,-0.95,5093.9
176,-0.24,5114.13
176.55,-0.13,5134.35
177.1,0.25,5153.64
177.65,0.56,5172.94
178.2,0.58,5192.23
178.75,0.26,5211.52
179.3,-0.47,5230.8
179.85,-0.17,5250.09
180.4,-1.38,5270.21
180.95,-0.26,5290.33
181.5,0.69,5310.46
182.05,-0.21,5329.96
182.6,0.68,5349.46
183.15,-0.26,5368.96
183.7,0.03,5388.39
184.25,0.54,5407.83
184.8,-2.14,5427.26
185.35,-1.08,5449.29
185.9,-1.28,5471.32
186.45,-0.06,5493.35
187,-1.3,5514.82
187.55,-2.19,5536.29
188.1,-0.82,5557.76
188.65,0,5577.7
189.2,1.23,5597.65
189.75,-0.26,5617.6
190.3,0.1,5637.31
190.85,-0.75,5657.03
191.4,-0.1,5676.74
191.95,-0.24,5696.92
192.5,-0.97,5717.1
193.05,0.57,5737.28
193.6,-0.77,5756.82
194.15,1.38,5776.36
194.7,-0.72,5795.9
195.25,0.91,5814.73
195.8,1.01,5833.56
196.35,-0.98,5852.38
196.9,0.29,5871.37
197.45,0.57,5890.35
198,0.32,5909.33
198.55,-0.54,5929.47
199.1,-0.89,5949.6
199.65,-0.71,5969.74
200.2,-1.54,5990.84
200.75,-0.5,6011.94
201.3,0.45,6033.05
201.85,-0.02,6052.66
202.4,-0.4,6072.27
202.95,-0.8,6091.88
203.5,0.06,6112
204.05,0.49,6132.12
204.6,-1.52,6152.24
205.15,0.8,6172.11
205.7,-0.93,6191.98
206.25,-0.51,6211.86
206.8,-0.71,6231.89
207.35,0.03,6251.92
207.9,-0.68,6271.95
208.45,-1.23,6292.6
209,0.27,6313.25
