y,x,z
2.938218367,-0.825,8.38836
2.938407207,-0.665,8.441315
2.974949734,-0.38,8.493315
2.97514564,-0.235,8.54436
2.974362248,-0.39,8.59542
2.974362248,-0.585,8.6465
2.951524019,-0.665,8.69817
2.951715388,-0.705,8.750425
2.953631098,-0.645,8.802625
2.95382287,-0.11,8.85477
3.025985317,0.235,8.905095
3.026191481,-0.34,8.9536
2.952098237,-0.67,9.003965
2.952289716,-0.535,9.05619
2.949421371,-0.71,9.108485
2.949612338,-0.68,9.16085
2.972015747,-0.445,9.21263
2.972211079,-0.505,9.263825
2.963458713,-0.555,9.31524
2.963458713,-0.32,9.36688
3.015526901,0.065,9.41721
3.015322923,0.145,9.466235
2.996132354,-0.18,9.51574
2.995932294,-0.605,9.565725
2.94923044,-0.76,9.61691
2.949039546,-0.43,9.669295
2.999138067,-0.16,9.720405
2.999138067,0.135,9.770235
3.051667906,0.47,9.81879
3.051667906,0.025,9.86607
2.962104093,-0.63,9.915565
2.962297497,-0.825,9.96727
2.94923044,-0.795,10.01931
2.948848688,-0.55,10.0717
2.987764104,-0.365,10.1231
2.985781943,-0.51,10.17355
2.977892355,-0.465,10.22425
2.979858924,-0.375,10.2751
2.973970782,-0.525,10.32605
2.975929646,-0.135,10.3771
3.053361386,0.415,10.4262
3.051244983,0.17,10.47345
2.96036513,-0.74,10.523
2.958436489,-1.135,10.57485
2.964233606,-0.7,10.6266
2.962297497,-0.595,10.67825
2.958436489,-0.765,10.73005
2.95651156,-0.78,10.782
2.952672784,-0.845,10.8341
2.952672784,-0.93,10.8863
2.952672784,-0.83,10.9385
2.95459033,-0.48,10.99065
2.993734271,-0.35,11.04175
2.993734271,-0.53,11.09185
2.989750202,-0.385,11.14205
2.991740252,-0.135,11.1923
3.009831198,-0.175,11.24205
3.009831198,-0.105,11.29135
3.028255465,0.055,11.3402
3.028255465,0.415,11.3886
3.087847562,0.775,11.4356
3.087847562,0.315,11.4812
2.997734276,-0.33,11.52895
2.997734276,-0.375,11.57885
2.983803703,-0.5,11.6291
2.983803703,-0.975,11.6797
2.920624801,-1.255,11.73195
2.920624801,-1.43,11.78585
2.893175685,-1.58,11.8405
2.893175685,-1.6,11.8959
2.880619466,-1.72,11.95165
2.880619466,-2.015,12.00775
2.833613424,-2.285,12.0652
2.831914188,-2.61,12.12405
2.796881415,-2.7,12.184
2.796881415,-2.37,12.245
