y,x,z
3.40247092,0.125,3.081725
3.401924919,0.06,3.10004
3.427354703,0.3,3.11813
3.427634697,0.95,3.144915
3.373405364,-0.095,3.172195
3.372875001,-1.185,3.19105
3.372875001,-1.105,3.20991
3.303740747,-0.34,3.229445
3.304235674,-0.1,3.24965
3.304235674,-1.29,3.26985
3.333878638,-0.645,3.289755
3.334388712,-0.135,3.30936
3.333878638,-0.895,3.328965
3.347742788,-0.175,3.34844
3.347225859,-0.005,3.367785
3.347225859,-1.075,3.387135
3.317692144,-0.725,3.406775
3.318194026,-0.145,3.4267
3.318194026,-0.36,3.44662
3.345160809,-0.31,3.466275
3.345676672,-0.1,3.48566
3.345160809,0.22,3.505045
3.385682006,-0.29,3.52405
3.386219208,0.155,3.542665
3.385682006,0.75,3.56128
3.369698715,-0.07,3.58005
3.369698715,-0.065,3.59897
3.370227396,-0.255,3.617885
3.396481247,0.125,3.63655
3.397024283,0.845,3.654965
3.397024283,0.47,3.673375
3.411247718,0.395,3.691655
3.411798834,0.825,3.7098
3.411247718,0.005,3.727945
3.421214577,0.17,3.746005
3.420658249,1.31,3.76398
3.421214577,-0.155,3.781955
3.36075364,-0.25,3.800485
3.361277612,0.575,3.81957
3.36075364,0.17,3.838655
3.345676672,-0.22,3.85789
3.345676672,-0.81,3.87727
3.345676672,-0.1,3.89665
3.347225859,0.3,3.916015
3.346709196,-0.32,3.93537
3.346709196,-0.355,3.95473
3.336942992,-0.3,3.974185
3.336942992,-0.005,3.993735
3.337454632,-0.08,4.01328
3.371285597,-0.575,4.032495
3.371285597,0.095,4.051385
3.371285597,0.795,4.070275
3.363901597,-0.175,4.089235
3.363901597,-0.135,4.108265
3.363901597,0.855,4.127295
3.349813182,0.115,4.14646
3.350331451,-0.505,4.165755
3.349813182,-0.18,4.18505
3.356050209,0.28,4.20429
3.356050209,-0.535,4.22347
3.356571721,-0.45,4.242645
3.381394754,0.99,4.26158
3.381394754,0.555,4.28028
3.381929657,0.58,4.298975
3.346192801,0.44,4.318005
3.346192801,-0.755,4.337375
3.346709196,-0.515,4.35674
3.335409641,0.145,4.37621
3.335920497,0.165,4.395785
3.335920497,-0.14,4.415355
3.34052998,-0.61,4.43488
3.341043459,-0.275,4.454355
3.34052998,0.84,4.47383
3.385145094,0.47,4.492885
3.385682006,0.195,4.51151
3.385145094,0.04,4.530135
3.310193983,-0.55,4.54949
3.309696099,-0.6,4.569575
3.310193983,-0.395,4.58966
3.33285927,0.085,4.609515
3.332349975,0.215,4.62915
3.33285927,-0.145,4.648785
3.335409641,-0.285,4.66839
3.335409641,-0.085,4.68797
3.335409641,-0.27,4.70755
3.327271244,0.28,4.72721
3.327271244,0.09,4.74695
3.327271244,-0.985,4.76669
3.29536425,-0.745,4.78675
3.295855048,-0.325,4.807125
3.29536425,-0.765,4.8275
3.304730846,-0.74,4.847785
3.304235674,0.175,4.86798
3.304730846,0.46,4.888175
3.363376249,0.045,4.90779
3.362851177,-0.095,4.926835
3.363376249,0.17,4.94588
3.339503813,0.675,4.96515
3.339503813,0.24,4.98465
3.340016765,-0.58,5.004145
3.317692144,-0.49,5.023855
3.317692144,-0.305,5.043785
3.318194026,0.035,5.06371
3.302751627,-0.295,5.083785
3.302751627,-0.595,5.104015
3.303246065,-0.185,5.12424
3.350331451,0.06,5.143995
3.349813182,0.405,5.16329
3.350331451,0.57,5.182585
3.350331451,0.42,5.201875
3.350849989,-0.105,5.22116
3.350331451,-0.32,5.240445
3.308203933,-0.775,5.26015
3.308203933,-0.82,5.28027
3.307707039,0.215,5.300395
3.339503813,0.24,5.32021
3.339503813,0.235,5.33971
3.339503813,0.21,5.35921
3.343100015,-0.115,5.378675
3.342585479,0.285,5.39811
3.343100015,-0.8,5.417545
3.217513117,-1.61,5.438275
3.217513117,-1.18,5.460305
3.217513117,-0.67,5.482335
3.243261666,-0.68,5.504085
3.243261666,-1.745,5.525555
3.243261666,-1.505,5.547025
3.317190514,-0.41,5.56773
3.316689135,0.615,5.587675
3.316689135,0.485,5.607625
3.328792157,-0.08,5.627455
3.328284929,-0.325,5.64717
3.328792157,-0.425,5.666885
3.305226263,-0.17,5.68683
3.305226263,-0.605,5.70701
3.305226263,-0.2,5.72719
3.337454632,-0.1,5.74705
3.337454632,0.305,5.76659
3.337454632,0.33,5.78613
3.374466936,0.095,5.805315
3.374466936,0.96,5.824145
3.374998144,0.015,5.84297
3.366005753,-0.345,5.861875
3.366532485,0.43,5.88086
3.366532485,0.445,5.89984
3.307210391,-0.11,5.9194
3.307707039,-0.715,5.939535
3.307210391,-0.8,5.95967
3.260645238,-1.125,5.98029
3.260645238,-1.02,6.00139
3.260171416,-0.025,6.022495
3.333878638,0.215,6.042855
3.333878638,-0.21,6.062465
3.333878638,-0.6,6.082075
3.308203933,-0.37,6.10194
3.308203933,0.275,6.12206
3.308203933,-0.515,6.14218
3.320707222,-0.36,6.162175
3.320707222,-0.065,6.182045
3.320204077,-0.72,6.20192
3.312687129,-0.61,6.221875
3.312687129,-0.34,6.241905
3.312687129,-0.325,6.261935
3.282202959,-0.955,6.282275
3.282202959,-0.48,6.302925
3.282202959,0.04,6.323575
3.287544074,-0.745,6.34417
3.287544074,-1.425,6.36471
3.287544074,-0.965,6.38525
3.258278373,-0.875,6.406095
3.258278373,-1.065,6.427245
3.258278373,-0.615,6.448395
3.348777449,0.16,6.46863
3.348259985,0.325,6.487955
3.348777449,-0.96,6.50728
3.257333193,-1.56,6.527525
3.257805671,-0.265,6.54869
3.257333193,0.165,6.569855
3.282202959,-0.875,6.590765
3.282687338,-0.99,6.61141
3.282202959,-1.49,6.632055
3.248866539,-1.245,6.653055
3.248866539,-0.86,6.674405
3.248866539,-1.75,6.695755
3.311190496,-0.7,6.71646
3.311689124,0.415,6.736515
3.311689124,-0.025,6.756565
3.277372032,-0.875,6.776965
3.27689022,-1.39,6.79772
3.27689022,-1.255,6.81848
3.289493392,-1.135,6.83911
3.289005706,-0.83,6.859615
3.289493392,0.08,6.88012
3.378191335,0.25,6.89975
3.377658428,0.37,6.918515
3.377658428,0.13,6.937285
3.290469478,-0.765,6.95691
3.290469478,-1.015,6.97739
3.290469478,-0.86,6.99787
3.290957879,-0.39,7.018345
3.290957879,-0.865,7.038815
3.290469478,-1.19,7.05929
3.259697819,-0.8,7.08009
3.259224447,-0.885,7.101215
3.259697819,-1.135,7.12234
3.25544551,-0.775,7.143505
3.254974145,-1.15,7.16472
3.25544551,-2.455,7.185935
3.186672684,-2.16,7.2079
3.186672684,-1.125,7.23062
3.186672684,-1.375,7.25334
3.237224964,-1.69,7.2755
3.236762108,-1.495,7.297105
3.236762108,-0.915,7.318715
3.341043459,0.24,7.339255
3.34052998,0.035,7.35873
3.341043459,-1.455,7.378205
3.220240392,-1.57,7.398925
3.220240392,-1.44,7.420895
3.220240392,-1.765,7.442865
3.238151318,-0.965,7.46464
3.238151318,-0.885,7.48622
3.238151318,-1.65,7.5078
3.292913869,-1.35,7.528805
3.293403465,-0.45,7.54923
3.292913869,-0.45,7.569655
3.355007999,-0.115,7.58947
3.355007999,-0.005,7.60867
3.355007999,0.06,7.62787
3.310193983,-0.155,7.64751
3.310193983,-1.425,7.66759
3.310193983,-1.265,7.68767
3.308203933,-0.64,7.70777
3.308701074,-0.015,7.727885
3.308203933,-0.725,7.748
3.312687129,-1.51,7.768075
3.313186504,-0.175,7.7881
3.312687129,0.63,7.808125
3.296346087,-0.78,7.82832
3.295855048,-1.535,7.848685
3.296346087,-1.255,7.86905
3.289981316,-1.48,7.889475
3.289981316,-0.915,7.909965
3.289981316,-0.04,7.930455
3.308701074,-0.15,7.950755
3.308701074,-0.81,7.970865
3.309198463,-1.15,7.99097
3.241865343,-1.325,8.01177
3.241865343,-1.33,8.03327
3.242330568,-1.72,8.054765
3.200857319,-1.53,8.07671
3.201303848,-1.98,8.099105
3.201303848,-2.11,8.121495
3.251680799,-0.89,8.143335
3.251680799,-1.025,8.164625
3.251680799,-1.72,8.185915
3.177472181,-2.29,8.208025
3.177472181,-2.395,8.230955
3.177036167,-1.78,8.25389
3.237688034,-1.51,8.276155
3.237688034,-1.24,8.297745
3.238151318,-1.06,8.31933
3.241865343,-1.39,8.34087
3.241865343,-1.345,8.36237
3.242330568,-1.25,8.383865
3.212532351,-1.82,8.40568
3.212532351,-2.045,8.42782
3.212532351,-1.79,8.44996
3.248398264,-1.645,8.47171
3.247930209,-1.07,8.493075
3.248398264,-0.72,8.51444
3.279784578,-0.775,8.53547
3.280267786,-1.82,8.556165
3.279784578,-1.765,8.57686
3.285598548,-0.18,8.5975
3.285598548,-0.215,8.61808
3.285598548,-1.175,8.63866
3.311190496,-0.76,8.65898
3.311689124,-0.6,8.679035
3.311689124,-1.175,8.699085
3.280267786,-0.915,8.719455
3.280751229,-1.15,8.74014
3.280267786,-1.575,8.760825
